‘•’uid,‘•’u–¼
0,SunnyBreeze
1,ForestEcho
2,HanaSaku
3,NightOwl
4,MizuTama
5,HaruMori
6,LuckyLeaf
7,YukiKaze
8,AzureSky
9,NekoTaro
10,StormBringer
11,CoralReef
12,HinataTime
13,SakuraDrop
14,PolarLight
15,AmberGlow
16,ShizukuChan
17,GreenGrove
18,HoshiZora
19,RiverFlow
20,KumoNeko
21,SoundWave
22,SoraMame
23,HikariDay
24,NebulaNote
25,TsubasaFly
26,KazeTori
27,LunaBeam
28,MidnightFlash
29,TerraNova
30,AoIro
31,ShioSai
32,CloverHill
33,KaiMei
34,SparkLeaf
35,HatoMugi
36,UmiTora
37,KiriSaku
38,WindyEcho
39,KazeUta
40,SnowFlake
41,KiriKiri
42,Komorebi
43,MistyWay
44,HachiMaru
45,NijiIro
46,InuTomo
47,PyroLight
48,AsahiRise
49,RakuBee
50,MameShiba
51,RippleRay
52,TsukiYomi
53,GingerAle
54,PikaPop
